Dusun,English,Type,Malay,Category,Variants
"aiso tulun nohinaan ku","there was no one at the time of my arrival",sentence,"tiada sesiapa pun masa ketibaan saya",declarative,
"aiso tulun nokoilo dot minanahak ko doho doh bunga","no one knows that you gave me these flowers",sentence,"tiada siapa yang tahu bahawa awak memberi saya bunga ini",declarative,
"aiso tulun nokoilo dot nonuan oku diya doh bunga","no one knows that you gave me these flowers",sentence,"tiada siapa yang tahu bahawa awak memberi saya bunga ini",declarative,
"aiso tulun nokosadar dot minonungkamang ih tombuagang luminabus mantad walai","no one noticed that the baby crawled out of the house",sentence,"tiada siapa yang perasan bayi itu merangkak keluar dari rumah",declarative,
"aiso tusin","no money",phrase,"tiada duit",,
"aiso tusin ku","I have no money",sentence,"saya tiada duit",declarative,
"aiso tusin ku baino","I don't have money today",sentence,"saya tiada duit hari ini",declarative,
"aiso tusin ku mimpanau","I have no money to go out",sentence,"tiada duit saya untuk berjalan-jalan",declarative,
"aiso tusin ku pomodiposit doh kurita","I don’t have money for a car deposit",sentence,"saya tiada duit untuk deposit kereta",declarative,
"aiso tusin ku pomoli doh wagas","I have no money to buy rice",sentence,"saya tiada duit untuk membeli beras",declarative,
"aiso tusin ku pomoli doh walai","I don’t have money to buy a house",sentence,"saya tiada duit untuk membeli rumah",declarative,
"aiso tusin ku pomuking doh bilik","I don’t have money to book a room",sentence,"saya tiada duit untuk menempah bilik",declarative,
"aiso tusin ku pomulanja diya sumikul hilo'd kolej","I don't have money to pay for your college education",sentence,"saya tiada wang untuk belanja kamu bersekolah di kolej",declarative,
"aiso tutok",idiot,phrase,"tiada otak",,
"aiso, asio boros dau","no, he did not say anything",sentence,"tidak, dia tidak mengatakan apa apa",declarative,
aiya,"o dear",phrase,haiya,,
ajadi,"can happen",verb,"boleh terjadi",,
"ajadi tokou mimbuul doh rumasam nooh?","are we still going to play football if it rains?",sentence,"kalau hujan kita maih bermain bola?",interrogative,
ajangka,expect,verb,"dapat dijangka",,
"ajangka dau ogumu poh mikut","she expects many more to join",sentence,"dia menjangkakan ramai lagi akan menyertai",declarative,
"ajangka ku noh rumasam doh suab","I can predict that it is going to rain tomorrow",sentence,"saya dapat jangka yang esok akan hujan",declarative,
ajarang,seldom,adjective,jarang,general,alambat
ajarang,rarely,adverb,jarang,,
"ajarang araag","seldom gets damaged",phrase,"jarang rosak",,
ajaro,teach,verb,ajarkan,imperative,tudukai
"ajaro oku","teach me",sentence,"ajar saya",imperative,
"ajaro oku momodoribal doh baas","teach me how to drive a bus",sentence,"ajar saya memandu bas",declarative,
"ajaron noh dati ih palsung doh mangakan doh takano","we must teach the tourist to eat rice",sentence,"kita mesti ajar pelancong itu makan nasi",declarative,
akaas,high,adjective,tinggi,descriptive,akawas
akadau,hard,adjective,keras,descriptive,"okodou, okodo"
"akadau tomod ilo kayu pinakai nu mimonsoi doh tansar","the wood you used to build that fence is very hard",sentence,"kayu yang kamu guna untuk membuat pagar itu sangat keras",declarative,
akakar,"rice that is not sticky",adjective,"nasi yang tidak melengkit",descriptive,
akakat,"able to be lifted",adjective,"boleh diangkat",descriptive,"agantai, ababo"
akakat,"lift able",adjective,"boleh diangkat",descriptive,"agantai, ababo"
akal,cheat,"verb ",menipu,root,
akalab,bright,adjective,terang,descriptive,atarang
"akalab tomod gonit konihab","the lightning yesterday was very bright",sentence,"kilat semalam sangat terang",declarative,
akalo,dim,adjective,kelam,descriptive,
akalot,astringent,adjective,kelat,descriptive,oporot
"akalot ti mangga nu John","John, your mango tastes astringent",sentence,"mangga kamu kelat John",declarative,
akan,eat,"verb ",makan,root,
"akan noh om kaanu tanaga","Some of the apples in the basket are rotten",sentence,"makanlah supaya kamu dapat tenaga ",declarative,
"akan oku po","I eat first",phrase,"saya makan dulu",,
akanan,"place to eat",noun,"tempat makan","places & buildings",
akang,"ready to strike with a weapon","verb ",mengacu,root,
akano,"eat it","verb ",makan,imperative,
"akano kopio sokirim nu","eat your ice cream quickly",sentence,"makan cepat aiskrim kamu",declarative,
akanon,"will be eaten",verb,"akan dimakan",,
akanon,"food to eat",noun,makanan,"food & drink",
"akanon dih John ih tubat?","will John eat the medicine?",sentence,"John akan makan ubat itu?",interrogative,
"akanon noh ih tubat","please take the medicine",sentence,"tolong makan ubat itu",imperative,
"akanon noh ti tubat salapas makan","please take this medicine after your meal",sentence,"tolong makan ubat ini selepas makan",imperative,
akapal,thick,adjective,tebal,descriptive,
"akapal ti tonsi doh sada","this fish flesh is thick",sentence,"isi ikan ini tebal",declarative,
"akapal tomod ilo sahap. noponu noh doh tulanut sorouku","the leaf litter is really thick. it might already be full of snakes",sentence,"daun-daun mati itu tebal betul. mungkin sudah penuh dengan ular",declarative,
"akapal tomod lunok doh tian nu","your belly fat is quite thick",sentence,"tebal juga lemak perut kamu itu",declarative,
akarahan,ticklish,adjective,geli,descriptive,
"akarahan ko ih nung titikon ku ih pokilok nu?","do you feel ticklish if i tickle your armpit?",sentence,"kamu rasa geli tak kalau saya geletek ketiak awak?",interrogative,
akarau,ticklish,adjective,geli,descriptive,
"akarau ih nung titikon ku ih pokilok nu?","does it tickle if I tickle your armpit?",sentence,"gelikah kalau saya geletek ketiak kamu?",interrogative,
"akarau tomod ih tian dih John titikon dih Mary","John feels ticklish because Mary is tickling his stomach",sentence,"John kegelian sebab perutnya digeletek oleh Mary",declarative,
akasar,rude,adjective,biadap,personal,amarod
akasar,rough,adjective,"kasar (permukaan)",descriptive,amarod
akatol,itchy,adjective,gatal,descriptive,
"akatol talanan ku","my throat is itchy",sentence,"tekak saya gatal",declarative,
akaul,lazy,adjective,malas,,
akaya,rich,adjective,kaya,personal,alaga
aki,grandpa,noun,datuk,"people & roles",
"aktiviti ko-kurikulum kadapat papalabus budak sikul cemerlang","co-curricular activities can produce excellent students",sentence,"kokurikulum dapat menghasilkan pelajar yang cemerlang",declarative,
akun,agree,"verb ",bersetuju,root,
akun,accept,"verb ",mengakui,root,
alaab,wide,adjective,lebar,descriptive,
alaab,broad,adjective,luas,descriptive,
alaangan,"can be stepped over",verb,"boleh dilangkahi",,
alab,burn,"verb ",bakar,root,
alabi,flat,adjective,leper,descriptive,
alabon,scorch,verb,membakar,,tutudan
alaga,wealthy,adjective,kaya,personal,akaya
alaga,well-off,adjective,kaya,personal,akaya
alahas,clean,adjective,bersih,descriptive,oborisi
alaid,"long (time)",adjective,lama,descriptive,
"alaid ih miting","the meeting took a long time",sentence,"mesyuarat itu mengambil masa yang lama",declarative,
"alaid ih proses doh poruntukan","the allocation process takes time",sentence,"proses peruntukan mengambil masa",declarative,
"alaid ih tadau","it has been a long day",sentence,"ia telah menjadi hari yang panjang",declarative,
"alaid kito amu nokopiruba","it's been a long time since we last met",sentence,"sudah lama kita tidak berjumpa",declarative,
"alaid ko poh momongo karaja nu?","how much longer will you take to finish your work?",sentence,"lama lagi kamu siapkan kerja kamu?",interrogative,
"alaid ko tomod","you took too long",sentence,"kamu ambil masa yang lama",declarative,
"alaid noh","it has been a long time",phrase,"lama sudah",,
"alaid noh amu nakarasam","it hasn’t rained for a long time",sentence,"sudah lama tidak hujan",declarative,
"alaid noh amu nokopiruba","long time no see!",sentence,"sudah lama tidak berjumpa!",declarative,
"alaid noh amu nokopiruba","long time no see",phrase,"lama tidak jumpa",,
"alaid noh ih momutanom-tanom","farming began many years ago",sentence,"pertanian bermula sejak lama dahulu",declarative,
"alaid noh nakajadi ii","that happened long ago",sentence,"itu berlaku lama dahulu",declarative,
"alaid oku minandad dau","I waited for him for a long while",sentence,"saya menunggunya untuk masa yang lama",declarative,
"alaid oku noh amu nokoruba diya, tompinai","long time no see, friend",sentence,"lama tidak jumpa sahabat",declarative,
"alaid oku noh amu nokotorining","I haven't trained in a long time",sentence,"sudah lama saya tidak berlatih",declarative,
"alaid oku noh minsonsod dau nga amu ku poh yau otutunan","I've been watching him for a long time but I don't know him yet",sentence,"saya sudah lama perhatikan dia tapi saya belum mengenalinya",declarative,
"alaid poh nondo om kopiruba nogi yati koimbagu","it will take a long time before we meet again",sentence,"ia akan mengambil masa yang lama sebelum kita bertemu lagi",declarative,
"alaid poh obuka ti kadai nu?","how much longer until your shop opens?",sentence,"lama lagi kedai kamu akan dibuka?",interrogative,
"alaid poh?","how much longer?",sentence,"berapa lama lagi?",interrogative,
"alaid tomod nopongo ih karaja","took so long to finish the work",sentence,"lama betul siap kerja",declarative,
"alaid tomod obuka ti kadai","this shop is really slow to open",sentence,"kedai ini lambat betul dibuka",declarative,
"alaid tomod tumingkod ti rasam","this rain is taking so long to stop",sentence,"lama betul hujan ini akan berhenti",declarative,
"alaid tomod yau","he’s taking so long",sentence,"lamanya dia",declarative,
alais,pointed,adjective,runcing,descriptive,alawis
alaju,"fast, quick",adjective,cepat,descriptive,"oringang, okojir"
alaju,"fast, quick",adjective,laju,descriptive,"oringang, okojir"
alaju,"fast, quick",adjective,pantas,descriptive,"oringang, okojir"
"alaju ko tomod minanangkus dih haaii","you ran so fast just now",sentence,"lajunya kamu lari tadi",declarative,
"alaju tomod ih tungau minanangkus","that cat ran very fast",sentence,"kucing itu berlari dengan pantas",declarative,
"alaju tomod tangkus nu","your run is very fast",sentence,"larian kamu sungguh laju",declarative,
"alaju tomod tungau manangkus","cats run fast",sentence,"kucing berlari dengan pantas",declarative,
alakis,agile,adjective,tangkas,personal,
alakis,agile,adjective,tangkas,,
alaku,"fast selling",adjective,laku,general,
alamau,slippery,adjective,licin,descriptive,alamou
"alamau tomod ti ralan tu ologod rasam kosodop","this road is so slippery because it rained heavily last night ",sentence,"jalan ini sungguh licin sebab semalam hujan lebat",declarative,
alambat,slow,adjective,lambat,descriptive,oloyo
alambat,late,adjective,"lewat, lambat",general,
"alambat ih Mary muli baino mantad sikul. Haro kalas tambahan sorouku","Mary is late today. Maybe there’s an extra class",sentence,"hari ini Mary lambat. Mungkin ada kelas tambahan",declarative,
"alambat kasari yau mongoi miting","he’s always late for meetings",sentence,"dia selalu lambat menghadiri mesyuarat",declarative,
"alambat ko moti","you are going to be late",sentence,"kamu akan lambat nanti",declarative,
"alambat noh sorouku papaali dih ransangan","it may be too late to change the plan",sentence,"mungkin sudah terlalu lewat untuk mengubah rancangan itu",declarative,
"alambat oku baino tu pinapaatod oku dih Mary kumaa'd sikul","I am late today because I sent Mary to school",sentence,"saya lewat hari ini sebab saya telah menghantar Mary ke sekolah",declarative,
"alambat oku nokorikot dih konihab tu' nakalambat oku minosik","I was late yesterday because I overslept",sentence,"saya lambat datang kelmarin sebab saya telah terlewat bangun",declarative,
"alambat oku nokorikot sabab ologod tomod ih rasam","I arrived late because it was raining heavily",sentence,"saya lambat sampai sebab hujan sungguh lebat",declarative,
"alambat oku tuminungag baini. aiso tulun minomosik doho","I woke up late today. no one woke me up",sentence,"lambat saya bangun hari ini. tiada sesiapa yang bangunkan saya",declarative,
"alambat tomod ti Wi-Fi doh hiti baino","the Wi-Fi here is very slow today",sentence,"Wi-Fi di sini sangat lambat hari ini",declarative,
"alambat yati","we are late",sentence,"kita lambat",declarative,
"alambat yau minomodoribal muli konihab","she drove home late last night",sentence,"dia memandu pulang lewat malam tadi",declarative,
alambatan,"will be late",verb,"akan kelewatan",,oloidan
alampai,flat,adjective,rata,descriptive,
alampas,quick,adjective,cepat,descriptive,
alana,"cleared area",noun,"kawasan lapang","places & buildings",
alanak,"able to melt",adjective,"boleh cair",descriptive,
alanan,replace,verb,diganti,,gontian
alanat,elsatic,adjective,anjal,descriptive,
alandui,"long shape",adjective,bujur,descriptive,
alang-alang,"not worth",adjective,alang-alang,general,
alangang,"scorching smell",adjective,"bau busuk atau pedas",descriptive,
alangga,clean,adjective,bersih,descriptive,oborisi
alangkas,strong,adjective,gagah,descriptive,
alanog,squishy,adjective,gebu?,descriptive,
alansan,hopefully,adverb,diharapkan,,
"alansar ih tarapik dungkosuabon","traffic flows smoothly in the morning",sentence,"trafik mengalir lancar pada waktu pagi",declarative,
alanut,tough,adjective,liat,descriptive,
"alanut tomod ti manuk","this chicken is really tough",sentence,"ayam ini sungguh liat",declarative,
alapak,splittable,adjective,"boleh dibelah",descriptive,
"alasar pogindalanan dih majlis","the ceremony went smoothly",sentence,"majlis itu berlangsung dengan lancar",declarative,
alasu,hot,adjective,panas,descriptive,
"alasu ii musim panas hilo'd Jipun","it's also hot in Japan in the summer",sentence,"panas juga di Jepun kalau musim panas",declarative,
"alasu tomod baino","the weather is very hot today",sentence,"cuaca panas hari ini",declarative,
"alasu tomod tadau baino","the sun was very hot today",sentence,"matahari sangat panas hari ini",declarative,
alawa,beautiful,adjective,cantik,descriptive,"olingkang, olumis"
alawa,gorgeous,adjective,jelita,descriptive,"olingkang, olumis"
alawa,pretty,adjective,lawa,descriptive,"olingkang, olumis"
